id,intent,utterance
1,None,ㄴㅇ
2,None,종로구 맛집
3,None,메일 용량 증가
4,None,H-AI
5,None,축하합니다
6,None,몇살이야?
7,None,응 너는?
8,None,나 9시에 출근했어
9,None,불꽃
10,None,하니형 인도 간다는데 인사해
11,None,을지로동
12,None,조용구 닮은 사람 있잖아
13,None,응 ㅃㅇ
14,None,위치
15,None,오늘 눈이 오나요?
16,None,응 수고해
17,None,9시 출근자는 언제 퇴근하니?
18,None,우리회사명
19,None,ㅍ
20,None,알았어 나갈게
21,None,ㅋㅋㅋㅋ 아직 대화는 불가능하구나
22,None,일정
23,None,자리비움인데 말 걸어서 미안해
24,None,이름을 작성해 드립니다.
25,None,점심
26,None,인사
27,None,요즘 춥다
28,None,구굴이 왜 유명하게 되었나요?
29,None,한화건설
30,None,김재경 돼지?
31,None,내생일
32,None,ㅠㅠ
33,None,설명
34,None,명랑 핫도그집 어때?
35,None,아니?
36,None,맛없었는대
37,None,오픽
38,None,바보야
39,None,빠이~
40,None,진급 심사
41,None,테스트
42,None,품질관리팀
43,None,hanwha-ai
44,None,한화S&C는 어디에 위치하구 있어?
45,None,ㅂㅂ
46,None,ㅇ
47,None,화약/방산 파트리더
48,None,sbs를 아니
49,None,류천우 전화번호
50,None,수행지원팀?
51,None,The rain in Spain stays mainly in the plains.
52,None,난 어디로 갈까
53,None,나 임직원인데
54,None,을지로 똥
55,None,수주보고 절차에 대해 설명해주세요
56,None,삼성전자 주가 ?
57,None,회사 위치
58,None,시간 얼마나 걸리니
59,None,어제 숙취가 너무 심하네요...
60,None,칵 퉤
61,None,즐주말
62,None,회사 게시판
63,None,선유고등학교
64,None,ㅎㅎ 아쉽네요~
65,None,인사팀
66,None,ㅁ나러ㅏㅣㅁㄴㅇ
67,None,모바일 메신저야?
68,None,렌트카
69,None,ㄳㄳ
70,None,미세먼지?
71,None,있을텐데
72,None,써클
73,None,아웃룩
74,None,아는게 없냐
75,None,왜 케미칼은 안해줘
76,None,눈이 왜 한쪽만 크지요?
77,None,너는 언제 퇴근해?
78,None,유화ito
79,None,진짜로?
80,None,5534 여의도성모 정류장 도착 시간
81,None,어허
82,None,온라인으로 하렴
83,None,오늘 점심메뉴
84,None,저녁
85,None,이 방 폭파
86,None,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
87,None,ㅎㅎ
88,None,어쩔거니
89,None,저 퇴근 언제해요?
90,None,셔틀버스
91,None,나가
92,None,대한민국은 어디에 있나요?
93,None,몇살이에요?
94,None,나 퇴근할게
95,None,ㅇㅇ;
96,None,넥센히어로즈 검색
97,None,문서보안 헤더를
98,None,네 맛있게 했습니다.
99,None,임채연 이라고 아니?
100,None,휴가 몇일남았는지 확인해줘
101,None,진짜?
102,None,바쁘게 다니시나 봅니다.
103,None,오늘의 주요뉴스는 ?
104,None,헬프데스크 전화번호
105,None,파인애비뉴
106,None,아는게 없구낭
107,None,부산까지 거리가?
108,None,왜요?
109,None,바보
110,None,왜 부끄럽다는거지
111,None,인사발령
112,None,양해 좀 그만 요구해
113,None,일하기 싫을땐 어떻게 해야해?
114,None,한화
115,None,집에가고싶어
116,None,제가 하지 않았습니다
117,None,여기 위치는?
118,None,"열심히 준비해서 고객사 좋은 일만 시키고, 우리한테 이득되는건 없는데,,, 답답하군요.."
119,None,연봉
120,None,몰라
121,None,서비스ITO팀 갤러리아 파트리더
122,None,메일 보관 주기
123,None,?
124,None,근처 좋은 식당 없을까?
125,None,오늘 몇일 이지?
126,None,응
127,None,왜이렇게 몰라
128,None,봇 프레임워크
129,None,점심머먹징
130,None,서초구 서초2동 말씨 알려줘
131,None,네.. 오늘 당직근무거든요.
132,None,근로계약작성을 어디서 해야하는지 몰라요
133,None,인사평가 언제까지이지?
134,None,사물함
135,None,장표
136,None,최성휘
137,None,남친만들기
138,None,우리 회사 이름은?
139,None,smart print
140,None,;;
141,None,내 연봉
142,None,베
143,None,여자친구
144,None,그래
145,None,또또아
146,None,내 월급
147,None,남자에요 여자에요?
148,None,춥다
149,None,김명섭 전화번호
150,None,명퇴소식은?
151,None,가~
152,None,인사 총무
153,None,아닌데
154,None,ITSM
155,None,와죠
156,None,이름을 지어 줄께요
157,None,점심 맛나게 먹어라~
158,None,오 그래...
159,None,손익
160,None,공부좀 더 하자
161,None,안마라고 하면 아니
162,None,ㅋㅋ
163,None,질문
164,None,ㅎ
165,None,수행-한화갤러리아 POS시스템 여전법 인증 시스템구축
166,None,시리보다 못하네
167,None,수행지원팀
168,None,점심인데??
169,None,흠...
170,None,너는 실수를 많이 하는구나
171,None,어머니회갑은 휴가가 있나?
172,None,본사근처 맛집?
173,None,하는 일
174,None,금융통합지원
175,None,아니요
176,None,영어로 밥 주세요
177,None,메뉴얼
178,None,에라이
179,None,집 가고싶다
180,None,(&)
181,None,많이 남았네
182,None,갤러리아
183,None,삼성전자 주식 ?
184,None,P-170472
185,None,아니 그거 말고
186,None,우리 팀 근태는?
187,None,나 이제 나간다
188,None,건설
189,None,저 임직원이라구요
190,None,일하니
191,None,왜 느려졌니..
192,None,지금 몇시지?
193,None,수행지원
194,None,RPA
195,None,이메일 용량을 늘리고 싶어요
196,None,똘똘이는 남자야? 여자야?
197,None,"Ok, I Understand,anyway, Can you speak English?"
198,None,오늘 한화빌딩 점심 메뉴는 뭐지?
199,None,ai란
200,None,오늘 몇도야?
201,None,챗봇이라고 해서 메신저 연결해 봤는데  증권 직원은 안되나 보네요?
202,None,너 바보냐.
203,None,멍청이
204,None,메신저 상태 체크 중이야
205,None,퇴직금은 얼마니?
206,None,노무쪽
207,None,파인애비뉴 주차비가 어떻게 되나요
208,None,팀 매출
209,None,가트너2018 전략기술
210,None,퇴근하고싶은데 어떡하냐
211,None,계속대답할꺼야?
212,None,Lee Insoo
213,None,왜 우리는 해외법인이 없는거죠?
214,None,다른계열사는 안돼?
215,None,이른 시간인데도.. 출근해 있군요.
216,None,혹시
217,None,발표력
218,None,일당이 얼마야?
219,None,그럼그럼
220,None,한똘똘씨의 급여는 얼마예요?
221,None,비트코인
222,None,다 모르니
223,None,자리를 6시간 비우셨네요
224,None,WBS코드
225,None,한화빌딩
226,None,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
227,None,네 많이 발전하길 기원합니다.
228,None,케미칼 파트리더
229,None,난 퇴근할게
230,None,링크
231,None,챗봇에 관해 궁금합니다 알려주실수 있나요?
232,None,몇시냐?
233,None,잘생긴사람
234,None,장난하니
235,None,나는 평가 받니?
236,None,퇴근시간은 언제인가요?
237,None,아니.. 그거 말고..
238,None,나 똘똘이 아닌데
239,None,허허
240,None,ㅡㅡㅋ
241,None,내 휴가 몇일남았어?
242,None,양해?
243,None,있는데?
244,None,지금 몇시에요?
245,None,일정?
246,None,자비스랑 친구니?
247,None,써클에 로그인이 안 되는데 왜 그럴까요?
248,None,공지사항
249,None,두번씩 말하니 왜
250,None,똘똘아 나 예쁘지
251,None,알았어
252,None,양해 부탁드립니다
253,None,생일
254,None,퇴근시간이 언제인데?
255,None,............
256,None,건설파트
257,None,왜 2번씩 대답해?
258,None,헐 휴가 물어본건데 ㅋㅋ
259,None,즐거운 하루 되세요.
260,None,양해
261,None,빅데이터란
262,None,바보냐
263,None,아뇨;;
264,None,프로젝트 visa
265,None,와이파이 비밀번호
266,None,인사총무
267,None,아는게 모야
268,None,한화 ?
269,None,AI란?
270,None,이현경 아니?
271,None,왜 두번씩 말하니
272,None,uhr
273,None,도움말
274,None,M007602
275,None,백화점POS
276,None,36기 신입사원은?
277,None,네 알겠습니다~
278,None,점심 맛있게 먹어
279,None,서비스ITO팀 갤러리아
280,None,eagle office viewer
281,None,야 나도 등록좀 해줘
282,None,취미가?
283,None,꺼져!!!
284,None,월 마감이 언제야?
285,None,왜 자리 비움이야 ?
286,None,바이러스 치료는
287,None,양념치킨 vs 후라이드치킨
288,None,퇴근할께~
289,None,ㅁㄴㅇㄹ
290,None,연차몇개남음?
291,None,점심시간 꽤지난듯..ㄷㄷ
292,None,조직 변경은 끝났니?
293,None,키미노나마에와
294,None,멍청아
295,None,퇴근은 언제하세요?
296,None,힘내
297,None,너 이름 바뀐다며
298,None,오늘 점심 뭐먹을거야
299,None,대방역 열차시간
300,None,my friend
301,None,연차 얼마나 남았지?
302,None,그렇군요
303,None,99%
304,None,종로구
305,None,아니요 별로 맛없었어요
306,None,()%
307,None,G220235
308,None,좀 배워라
309,None,머하냐
310,None,메일 주기
311,None,아..
312,None,아 빙신
313,None,하아..
314,None,Fighting~!
315,None,지금 퇴근해도 되요?
316,None,케미칼팀
317,None,회의실
318,None,난 9시 출근이라 퇴근시간이 늦어
319,None,휴가 며칠 남았지?
320,None,멍청하네
321,None,할룽
322,None,hanwha ai
323,None,ㅇㅇ
324,None,챗봇 알아?
325,None,맛있게 먹었지~
326,None,넌 언제 퇴근?
327,None,입사 결정 후 기억에 남는 일이 있다면?
328,None,너무 모르는 거 아니니
329,None,드라이버
330,None,우리팀 팀원이 몇명이지?
331,None,나이
332,None,회사이름
333,None,불금이네요~~ 화이팅
334,None,그렇구나
335,None,좀 똘똘해 져라..
336,None,퇴근시간
337,None,퇴근
338,None,포상휴가는 며칠 인가요?
339,None,니가 아는거
340,None,갤러리아 면세점 혜택이 있나요?
341,None,와이
342,None,노래불러주삼
343,None,나이가?
344,None,문서 헤더 정보를 읽을수 없습니다
345,None,반갑당 ^^
346,None,집에가는길
347,None,메뉴
348,None,느꼈니?
349,None,프린터
350,None,왜 사람 차별해?
351,None,근로계약 작성은 어디서 해야하나요?
352,None,방산ito2팀
353,None,오...
354,None,내 휴가는 며칠 남았니?
355,None,똘똘아 퇴근하고싶어
356,None,쟤 어떻게 내쫓지
357,None,퇴근시간언제?
358,None,집갈게
359,None,ㅇㅋㅇ
360,None,잔여연차 몇개임?
361,None,회사 주소는?
362,None,서울<->부산 거리가?
363,None,노래 불러죠
364,None,쉬지마
365,None,두번씩 말하네
366,None,으음.. 축하해요.
367,None,오잉.. 축하해.. 상 받았던데.. ㅋㅋ
368,None,welcome
369,None,..
370,None,이 친구 참
371,None,왜 없어?
372,None,힌정재
373,None,음
374,None,bye
375,None,화이팅 하라구
376,None,S&C 본사는 어디에 있지요?
377,None,문서보안 비밀번호 초기화
378,None,네 알겠습니다.
379,None,졸리다
380,None,ㅁㄴㅇ라ㅣㅁㄴ아ㅣㄹ
381,None,"Today weather is so cool, isn't it~~"
382,None,죽전IDC 위치
383,None,상생협력팀
384,None,즐거운 주말되라
385,None,주식 시세는?
386,None,(@)
387,None,프로젝트 코드 요청
388,None,대한민국 대통령 이름?
389,None,???
390,None,"google과 amazon의 강점, 약점을 비교해 주세요."
391,None,음...
392,None,ㅎㅎ 그럼 아는건 어떤건가?
393,None,갤러리아 혜택이 있나요
394,None,알았다.
395,None,ㅎㅎㅎ
396,None,퇴지금
397,None,바보 ㅋㅋ
398,None,그러니 사원 이지..
399,None,우리회사 사업자번호
400,None,자신감
401,None,물어볼수 있는 것
402,None,팀원 휴가자
403,None,6시 퇴근인뎅
404,None,그래그래
405,None,그렇군
406,None,(C)
407,None,응 너는? ㅎㅎ
408,None,점심메뉴
409,None,너 쉬고있니?
410,None,바보야?
411,None,돈 좀 빌려줘
412,None,니가 하는 일은 무엇이니?
413,None,응 잘먹었어 너는?
414,None,손새봄
415,None,잘지내세요~~
416,None,비틀즈
417,None, ㅇㅇ
418,None,1시간넘게남았는걸 ?
419,None,즐건 주말 보내
420,None,졸려
421,None,김명구
422,None,응?
423,None,dkssud
424,None,전화번호부
425,None,회사근처에 괜찮은 회식장소를 아시나요
426,None,OPIc
427,None,메일 회수
428,None,사업자번호
429,None,다 몰러
430,None,정해진 전화번호가?
431,None,회사 정보
432,None,노래
433,None,퇴근했어
434,None,놀아줘
435,None,대따
436,None,시간
437,None,알겠어
438,None,이런 계열사는 서비스 안돼요?
439,None,넌 모른는게 참 많은것같애
440,None,통근버스
441,None,?????
442,None,평가
443,None,6시 퇴근이야
444,None,맛집 소개해줘
445,None,너 왜 사람 차별해?
446,None,우리회사 주소는?
